profileid,title,description,starttime,endtime,recurrencerule,isallday,location
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4287 - HW 2,"hw2 hw-2 homework 2 homework-2 hw <br><br><br><strong>Real-Time Operating Systems (RTOS)</strong>: Many embedded systems require real-time performance, where tasks must be completed within strict time constraints. An RTOS manages the hardware resources and scheduling to meet these time requirements.<br><br><strong>Programming Languages</strong>: C and C++ are the most commonly used programming languages for embedded systems due to their efficiency and control over system resources. Assembly language is also used for very low-level programming, and newer languages like Rust are gaining traction for their safety features.",2024-02-15T01:30:00+00:00,2024-02-15T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4287 - HW 3,hw3 hw 3 homework 3 homework-3,2024-02-15T02:30:00+00:00,2024-02-15T03:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4743 - Quiz 1,"Quiz 01 <br><br>Quiz 1 Topics to Study: <br><br><ol><li><p><strong>Fundamentals of Information Security</strong>: Introduction to the foundational concepts of cybersecurity, including the CIA triad (confidentiality, integrity, availability), types of security threats, vulnerabilities, and the principles of secure design.</p></li><li><p><strong>Network Security</strong>: Detailed examination of network architectures, protocols, and security measures. Topics might include firewalls, intrusion detection systems (IDS), intrusion prevention systems (IPS), virtual private networks (VPNs), and secure routing protocols.</p></li><li><p><strong>Cryptography</strong>: Understanding the role of cryptography in securing data. This includes symmetric and asymmetric encryption, hashing algorithms, digital signatures, and cryptographic protocols like SSL/TLS for secure communication.</p></li></ol>",2024-02-15T20:15:00+00:00,2024-02-15T20:45:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 2 DUE,"Lab 2 due<br><br>DUE : 02/15/2024<br><br><strong>Socket Programming</strong>: At the heart of network programming, socket programming involves creating endpoints (sockets) for communication between devices. The course will likely cover how to use sockets in various programming languages, such as C/C++, Python, or Java, and the differences between TCP sockets (stream-based) and UDP sockets (datagram-based).",2024-02-16T03:00:00+00:00,2024-02-16T03:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4287 - HW 4,"hw4 hw-4 homework4 homework 4 hw<br><br><strong>Input/Output Interfaces</strong>: Embedded systems often interact with the external world through sensors and actuators. Programming these interfaces involves managing digital and analog inputs/outputs, communication protocols (e.g., SPI, I2C, UART), and sometimes complex signal processing.",2024-02-22T01:30:00+00:00,2024-02-22T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4034 - HW 1,Homework 1 hw-1 hw homework-1,2024-02-23T02:30:00+00:00,2024-02-23T03:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 3 DUE,"Lab 3 due<br><br><strong>Client-Server Model</strong>: Learning how to design and implement the client-server architecture, where servers provide resources or services and clients access them. This includes understanding stateful vs. stateless design, multi-threaded servers, and handling multiple clients.",2024-02-23T03:00:00+00:00,2024-02-23T04:00:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 4 DUE,"lab 4 due<br><br>Lab 4 <br><br><strong>Concurrent Programming</strong>: Since network applications often handle multiple connections simultaneously, an understanding of concurrency is essential. This might involve threads, processes, asynchronous I/O, or event-driven programming, depending on the technology stack used.",2024-03-01T03:00:00+00:00,2024-03-01T03:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4034 - Theory Midterm,"Theory midterm, test Midterm Test<br><br>Topics for study:<br><br><ol><li><p><strong>Automata Theory</strong>: This area introduces the concept of automata as abstract models of computing machines. Students learn about finite automata, pushdown automata, and Turing machines, which correspond to different classes of computational problems. The study of automata is foundational for understanding how problems can be mechanistically solved.</p></li><li><p><strong>Formal Languages and Grammars</strong>: This topic explores the formalisms used to describe and classify languages (sets of strings) that automata can recognize. It covers the Chomsky hierarchy, which classifies languages into types based on their generative grammars, from regular and context-free languages to context-sensitive and recursively enumerable languages.</p></li><li><p><strong>Computability Theory</strong>: Also known as recursion theory, computability theory addresses the question of what problems can be solved by algorithms, hence what is computable. It includes the study of recursive functions, the Church-Turing thesis, and the concept of undecidability, illustrated by famous problems like the Halting Problem.</p></li></ol>",2024-03-04T16:30:00+00:00,2024-03-04T17:45:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4287 - HW 5,"hw 5 homework 5 hw-5 homework-5<br><br><strong>Power Management</strong>: Many embedded systems are battery-powered and require careful management of power consumption. Programming for power efficiency involves techniques such as sleep modes, dynamic power scaling, and efficient use of peripherals.",2024-03-14T00:00:00+00:00,2024-03-14T01:00:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 6 ,"Lab 6 is due<br><br><strong>Web Services and APIs</strong>: Introduction to web services and Application Programming Interfaces (APIs), including RESTful services and SOAP. This section covers how to design, implement, and consume web services, which are critical for modern web applications.",2024-03-15T02:00:00+00:00,2024-03-15T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 7,"Lab 7 <br><br><strong>Network Application Protocols</strong>: Detailed exploration of application layer protocols such as HTTP, FTP, SMTP, and DNS. Understanding these protocols is essential for developing applications that perform web browsing, file transfer, email, and domain name resolution.",2024-03-22T02:00:00+00:00,2024-03-22T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4743 - Quiz 2,"quiz 2 quiz-2 quiz2<br><br><ol><li><p><strong>Security Policies and Laws</strong>: Overview of the legal, ethical, and professional issues in cybersecurity. Discussion of privacy laws, regulatory requirements (e.g., GDPR, HIPAA), and the development and implementation of security policies and incident response plans.</p></li><li><p><strong>Operating System and Application Security</strong>: Techniques and tools for securing operating systems (Windows, Linux, etc.) and applications. This may cover topics such as access controls, secure coding practices, application vulnerabilities, and patch management.</p></li><li><p><strong>Threat Analysis and Mitigation</strong>: Techniques for identifying, analyzing, and mitigating cyber threats. This could include malware analysis, penetration testing, risk assessment methodologies, and the use of various security frameworks (e.g., NIST, ISO/IEC 27001).</p></li></ol>",2024-03-28T19:15:00+00:00,2024-03-28T19:45:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4287 - HW 6,"hw-6 homework 6 hw <br><br><br><strong>Development Environments and Tools</strong>: Integrated Development Environments (IDEs) and tools specific to the target hardware are used for coding, debugging, and testing. These tools often include simulators, emulators, and real-time debugging features.",2024-03-28T00:30:00+00:00,2024-03-28T01:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4743 - HW 3,"hw-3 hw 3 due homework <br><br><br><br><ol><li><p><strong>Cloud Security</strong>: Security challenges and strategies related to cloud computing. Topics may include cloud architecture, secure data storage, identity and access management (IAM), and compliance issues in cloud environments.</p></li><li><p><strong>Incident Response and Disaster Recovery</strong>: Preparing for, responding to, and recovering from cybersecurity incidents. This includes the creation of incident response teams, forensic analysis, and disaster recovery planning.</p></li><li><p><strong>Emerging Trends in Cybersecurity</strong>: Exploration of emerging technologies and trends in cybersecurity, such as artificial intelligence (AI) and machine learning in security, blockchain for security, and the evolving landscape of cyber warfare and cyber terrorism.</p></li></ol>",2024-04-05T01:00:00+00:00,2024-04-05T02:00:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 8,"lab 8 due lab 08<br><br><br><strong>Advanced Topics</strong>: Depending on the course’s depth, it might cover more advanced topics like network programming with frameworks (e.g., .NET or Node.js), peer-to-peer systems, network simulation tools, or specific protocols for IoT devices.",2024-04-05T02:00:00+00:00,2024-04-05T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4034 - Theory HW 2,"Theory HOMEWORK 2 - DUE hw-2 homework 2 hw2<br><br><br><ol><li><p><strong>Algorithmic Complexity and Efficiency</strong>: Related to complexity theory, this topic focuses on analyzing algorithms to determine their efficiency and scalability. It involves understanding big O notation, time-space trade-offs, and the limits of algorithmic optimization.</p></li><li><p><strong>Reduction and Completeness</strong>: The course may cover reductions, a method for proving that problems are at least as hard as others, thereby establishing hardness and completeness within various complexity classes, particularly NP-completeness.</p></li></ol>",2024-04-16T02:00:00+00:00,2024-04-16T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 9,"Lab 9 DUE <br><br><br><ol><li><p><strong>Networking Fundamentals</strong>: Understanding the basic principles of computer networks, including the OSI and TCP/IP models, network topologies, and key protocols such as TCP, UDP, IP, and HTTP. This foundation is crucial for understanding how data moves across the network.</p></li><li><p><strong>Socket Programming</strong>: At the heart of network programming, socket programming involves creating endpoints (sockets) for communication between devices. The course will likely cover how to use sockets in various programming languages, such as C/C++, Python, or Java, and the differences between TCP sockets (stream-based) and UDP sockets (datagram-based).</p></li><li><p><strong>Client-Server Model</strong>: Learning how to design and implement the client-server architecture, where servers provide resources or services and clients access them. This includes understanding stateful vs. stateless design, multi-threaded servers, and handling multiple clients.</p></li><li><p><strong>Concurrent Programming</strong>: Since network applications often handle multiple connections simultaneously, an understanding of concurrency is essential. This might involve threads, processes, asynchronous I/O, or event-driven programming, depending on the technology stack used.</p></li><li><p><strong>Network Security</strong>: An overview of the principles of network security, including encryption, authentication, and secure communication protocols (e.g., SSL/TLS). Security practices are vital for protecting data in transit and preventing unauthorized access.</p></li><li><p><strong>Web Services and APIs</strong>: Introduction to web services and Application Programming Interfaces (APIs), including RESTful services and SOAP. This section covers how to design, implement, and consume web services, which are critical for modern web applications.</p></li></ol>",2024-04-19T02:00:00+00:00,2024-04-19T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4743 - HW 2,"hw-2 homework 2<br><br>hw 2<br><br><ol><li><p><strong>Cryptography</strong>: Understanding the role of cryptography in securing data. This includes symmetric and asymmetric encryption, hashing algorithms, digital signatures, and cryptographic protocols like SSL/TLS for secure communication.</p></li><li><p><strong>Security Policies and Laws</strong>: Overview of the legal, ethical, and professional issues in cybersecurity. Discussion of privacy laws, regulatory requirements (e.g., GDPR, HIPAA), and the development and implementation of security policies and incident response plans.</p></li><li><p><strong>Operating System and Application Security</strong>: Techniques and tools for securing operating systems (Windows, Linux, etc.) and applications. This may cover topics such as access controls, secure coding practices, application vulnerabilities, and patch management.</p></li><li><p><strong>Threat Analysis and Mitigation</strong>: Techniques for identifying, analyzing, and mitigating cyber threats. This could include malware analysis, penetration testing, risk assessment methodologies, and the use of various security frameworks (e.g., NIST, ISO/IEC 27001).</p></li></ol>",2024-03-18T01:30:00+00:00,2024-03-18T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4743 - HW 4,"assignment 4 due hw4 homework 4 hw-4 cyber security and infrastructure defense<br><br><br><br><ol><li><p><strong>Cyber Physical Systems Security</strong>: Addressing the security considerations for cyber-physical systems (CPS) such as industrial control systems (ICS), Supervisory Control and Data Acquisition (SCADA) systems, and Internet of Things (IoT) devices.</p></li><li><p><strong>Cloud Security</strong>: Security challenges and strategies related to cloud computing. Topics may include cloud architecture, secure data storage, identity and access management (IAM), and compliance issues in cloud environments.</p></li></ol>",2024-04-24T02:00:00+00:00,2024-04-24T03:00:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4034 - HW 3,"theory homework 3 hw-3 hw<br><br><br><br><ol><li><p><strong>Algorithmic Complexity and Efficiency</strong>: Related to complexity theory, this topic focuses on analyzing algorithms to determine their efficiency and scalability. It involves understanding big O notation, time-space trade-offs, and the limits of algorithmic optimization.</p></li><li><p><strong>Reduction and Completeness</strong>: The course may cover reductions, a method for proving that problems are at least as hard as others, thereby establishing hardness and completeness within various complexity classes, particularly NP-completeness.</p></li><li><p><strong>Decidability and Recursion</strong>: An exploration of which problems can be algorithmically decided, the limits of algorithmic solutions, and how recursive functions play into the theory of computation.</p></li><li><p><strong>Quantum Computation (Optional)</strong>: Some courses might introduce elements of quantum computation, discussing how quantum bits and quantum algorithms could potentially solve problems more efficiently than classical algorithms.</p></li></ol>",2024-05-02T02:00:00+00:00,2024-05-02T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 3762 - Lab 10 DUE,"Lab 10 DUE - server architecture

Comprehensive lab to cover all topics.",2024-05-03T02:00:00+00:00,2024-05-03T02:30:00+00:00,,False,
6931c08c-c2e9-427f-9d3c-75c48e87b4ec,CSCI 4743 - Quiz 3,"Quiz 03 quiz 3 - cyber security and infrastructure defense<br><br><br><ol><li><p><strong>Cyber Physical Systems Security</strong>: Addressing the security considerations for cyber-physical systems (CPS) such as industrial control systems (ICS), Supervisory Control and Data Acquisition (SCADA) systems, and Internet of Things (IoT) devices.</p></li><li><p><strong>Cloud Security</strong>: Security challenges and strategies related to cloud computing. Topics may include cloud architecture, secure data storage, identity and access management (IAM), and compliance issues in cloud environments.</p></li><li><p><strong>Incident Response and Disaster Recovery</strong>: Preparing for, responding to, and recovering from cybersecurity incidents. This includes the creation of incident response teams, forensic analysis, and disaster recovery planning.</p></li><li><p><strong>Emerging Trends in Cybersecurity</strong>: Exploration of emerging technologies and trends in cybersecurity, such as artificial intelligence (AI) and machine learning in security, blockchain for security, and the evolving landscape of cyber warfare and cyber terrorism.</p></li></ol>",2024-05-02T19:15:00+00:00,2024-05-02T19:45:00+00:00,,False,
